Site,Date,Watershed,Rain/Snow,Precipitation.cm,NH4N.mgl,NO3N.mgl,NO2N.mgl,SO4S.mgl,PO4.mgl,Cl.mgl,F.mgl,Mg.mgl,Ca.mgl,K.mgl,Na.mgl,,,,,,,,,,
hall,150204,Salt Lake,rain,0.28,0.49,0.83,0.09,1.66,0.00,6.52,0.12,0.39,8.35,0.28,4.12,,,,,,,,,,
hall,150210,Salt Lake,rain,0.54,0.52,0.40,0.01,0.65,0.00,1.73,0.04,0.24,2.99,0.88,1.13,,,,,,,,,,
schulze,131219,Salt Lake,snow,1.31,0.33,0.35,0.00,0.13,0.01,1.08,0.00,0.00,0.27,0.08,0.47,,,,,,,,,,
schulze,131221,Salt Lake,snow,0.35,0.49,0.35,0.01,0.19,0.01,6.16,0.05,0.05,0.41,0.18,3.85,,,,,,,,,,
schulze,140104,Salt Lake,snow,0.20,0.52,0.43,0.05,0.66,0.02,13.44,0.06,0.20,3.12,0.24,8.55,,,,,,,,,,
schulze,140110,Salt Lake,snow,1.10,0.46,0.35,0.00,0.18,0.02,6.96,0.03,0.04,0.39,0.07,4.22,,,,,,,,,,
schulze,140205,Salt Lake,snow,0.31,0.37,0.30,0.01,0.11,0.00,6.69,0.01,0.09,0.84,0.19,4.13,,,,,,,,,,
schulze,140228,Salt Lake,rain,2.19,0.65,0.04,0.01,0.11,0.16,1.40,0.01,0.56,2.38,0.67,0.47,,,,,,,,,,
schulze,140307,Salt Lake,rain,1.94,0.93,0.24,0.03,0.32,0.01,0.85,0.02,0.33,2.98,0.24,0.47,,,,,,,,,,
schulze,140501,Salt Lake,rain,1.79,0.30,0.29,0.01,4.20,0.09,24.80,0.04,2.11,13.67,2.29,19.64,,,,,,,,,,
schulze,140508,Salt Lake,rain,1.79,0.65,0.42,0.01,0.50,0.00,1.37,0.02,0.27,2.92,0.69,0.83,,,,,,,,,,
schulze,140526,Salt Lake,rain,0.18,0.20,0.53,0.01,0.50,0.00,1.20,0.06,0.46,3.50,2.69,0.80,,,,,,,,,,
schulze,140618,Salt Lake,rain,1.77,0.56,0.53,0.05,0.83,0.00,2.11,0.05,0.80,5.59,2.69,1.46,,,,,,,,,,
